SME_LOAN_ID_NO,GENDER,MARITAL_STATUS,FAMILY_MEMBERS,QUALIFICATION,EMPLOYMENT,CANDIDATE_INCOME,GUARANTEE_INCOME,LOAN_AMOUNT,LOAN_DURATION,LOAN_HISTORY,LOAN_LOCATION,LOAN_APPROVAL_STATUS
LP001002,Male,Not Married,0,Graduate,No,5849,0,,360,1,City,Y
LP001003,Male,Married,1,Graduate,No,4583,1508,128,360,1,Village,N
LP001005,Male,Married,0,Graduate,Yes,3000,0,66,360,1,City,Y
LP001006,Male,Married,0,Under Graduate,No,2583,2358,120,360,1,City,Y
LP001008,Male,Not Married,0,Graduate,No,6000,0,141,360,1,City,Y
LP001011,Male,Married,2,Graduate,Yes,5417,4196,267,360,1,City,Y
LP001013,Male,Married,0,Under Graduate,No,2333,1516,95,360,1,City,Y
LP001014,Male,Married,3+,Graduate,No,3036,2504,158,360,0,Town,N
LP001018,Male,Married,2,Graduate,No,4006,1526,168,360,1,City,Y
LP001020,Male,Married,1,Graduate,No,12841,10968,349,360,1,Town,N
LP001024,Male,Married,2,Graduate,No,3200,700,70,360,1,City,Y
LP001027,Male,Married,2,Graduate,,2500,1840,109,360,1,City,Y
LP001028,Male,Married,2,Graduate,No,3073,8106,200,360,1,City,Y
LP001029,Male,Not Married,0,Graduate,No,1853,2840,114,360,1,Village,N
LP001030,Male,Married,2,Graduate,No,1299,1086,17,120,1,City,Y
LP001032,Male,Not Married,0,Graduate,No,4950,0,125,360,1,City,Y
LP001034,Male,Not Married,1,Under Graduate,No,3596,0,100,240,,City,Y
LP001036,Female,Not Married,0,Graduate,No,3510,0,76,360,0,City,N
LP001038,Male,Married,0,Under Graduate,No,4887,0,133,360,1,Village,N
LP001041,Male,Married,0,Graduate,,2600,3500,115,,1,City,Y
LP001043,Male,Married,0,Under Graduate,No,7660,0,104,360,0,City,N
LP001046,Male,Married,1,Graduate,No,5955,5625,315,360,1,City,Y
LP001047,Male,Married,0,Under Graduate,No,2600,1911,116,360,0,Town,N
LP001050,,Married,2,Under Graduate,No,3365,1917,112,360,0,Village,N
LP001052,Male,Married,1,Graduate,,3717,2925,151,360,,Town,N
LP001066,Male,Married,0,Graduate,Yes,9560,0,191,360,1,Town,Y
LP001068,Male,Married,0,Graduate,No,2799,2253,122,360,1,Town,Y
LP001073,Male,Married,2,Under Graduate,No,4226,1040,110,360,1,City,Y
LP001086,Male,Not Married,0,Under Graduate,No,1442,0,35,360,1,City,N
LP001087,Female,Not Married,2,Graduate,,3750,2083,120,360,1,Town,Y
LP001091,Male,Married,1,Graduate,,4166,3369,201,360,,City,N
LP001095,Male,Not Married,0,Graduate,No,3167,0,74,360,1,City,N
LP001097,Male,Not Married,1,Graduate,Yes,4692,0,106,360,1,Village,N
LP001098,Male,Married,0,Graduate,No,3500,1667,114,360,1,Town,Y
LP001100,Male,Not Married,3+,Graduate,No,12500,3000,320,360,1,Village,N
LP001106,Male,Married,0,Graduate,No,2275,2067,,360,1,City,Y
LP001109,Male,Married,0,Graduate,No,1828,1330,100,,0,City,N
LP001112,Female,Married,0,Graduate,No,3667,1459,144,360,1,Town,Y
LP001114,Male,Not Married,0,Graduate,No,4166,7210,184,360,1,City,Y
LP001116,Male,Not Married,0,Under Graduate,No,3748,1668,110,360,1,Town,Y
LP001119,Male,Not Married,0,Graduate,No,3600,0,80,360,1,City,N
LP001120,Male,Not Married,0,Graduate,No,1800,1213,47,360,1,City,Y
LP001123,Male,Married,0,Graduate,No,2400,0,75,360,,City,Y
LP001131,Male,Married,0,Graduate,No,3941,2336,134,360,1,Town,Y
LP001136,Male,Married,0,Under Graduate,Yes,4695,0,96,,1,City,Y
LP001137,Female,Not Married,0,Graduate,No,3410,0,88,,1,City,Y
LP001138,Male,Married,1,Graduate,No,5649,0,44,360,1,City,Y
LP001144,Male,Married,0,Graduate,No,5821,0,144,360,1,City,Y
LP001146,Female,Married,0,Graduate,No,2645,3440,120,360,0,City,N
LP001151,Female,Not Married,0,Graduate,No,4000,2275,144,360,1,Town,Y
LP001155,Female,Married,0,Under Graduate,No,1928,1644,100,360,1,Town,Y
LP001157,Female,Not Married,0,Graduate,No,3086,0,120,360,1,Town,Y
LP001164,Female,Not Married,0,Graduate,No,4230,0,112,360,1,Town,N
LP001179,Male,Married,2,Graduate,No,4616,0,134,360,1,City,N
LP001186,Female,Married,1,Graduate,Yes,11500,0,286,360,0,City,N
LP001194,Male,Married,2,Graduate,No,2708,1167,97,360,1,Town,Y
LP001195,Male,Married,0,Graduate,No,2132,1591,96,360,1,Town,Y
LP001197,Male,Married,0,Graduate,No,3366,2200,135,360,1,Village,N
LP001198,Male,Married,1,Graduate,No,8080,2250,180,360,1,City,Y
LP001199,Male,Married,2,Under Graduate,No,3357,2859,144,360,1,City,Y
LP001205,Male,Married,0,Graduate,No,2500,3796,120,360,1,City,Y
LP001206,Male,Married,3+,Graduate,No,3029,0,99,360,1,City,Y
LP001207,Male,Married,0,Under Graduate,Yes,2609,3449,165,180,0,Village,N
LP001213,Male,Married,1,Graduate,No,4945,0,,360,0,Village,N
LP001222,Female,Not Married,0,Graduate,No,4166,0,116,360,0,Town,N
LP001225,Male,Married,0,Graduate,No,5726,4595,258,360,1,Town,N
LP001228,Male,Not Married,0,Under Graduate,No,3200,2254,126,180,0,City,N
LP001233,Male,Married,1,Graduate,No,10750,0,312,360,1,City,Y
LP001238,Male,Married,3+,Under Graduate,Yes,7100,0,125,60,1,City,Y
LP001241,Female,Not Married,0,Graduate,No,4300,0,136,360,0,Town,N
LP001243,Male,Married,0,Graduate,No,3208,3066,172,360,1,City,Y
LP001245,Male,Married,2,Under Graduate,Yes,1875,1875,97,360,1,Town,Y
LP001248,Male,Not Married,0,Graduate,No,3500,0,81,300,1,Town,Y
LP001250,Male,Married,3+,Under Graduate,No,4755,0,95,,0,Town,N
LP001253,Male,Married,3+,Graduate,Yes,5266,1774,187,360,1,Town,Y
